iter	Passed	Remaining
855	5285	889
856	5291	882
857	5296	876
858	5302	870
859	5308	864
860	5313	857
861	5320	851
862	5326	845
863	5332	839
864	5338	833
865	5346	827
866	5352	821
867	5359	815
868	5365	808
869	5371	802
870	5376	796
871	5382	790
872	5388	783
873	5394	777
874	5400	771
875	5406	765
876	5413	759
877	5420	753
878	5427	747
879	5435	741
880	5444	735
881	5454	729
882	5463	723
883	5472	718
884	5480	712
885	5490	706
886	5497	700
887	5504	694
888	5511	688
889	5519	682
890	5528	676
891	5537	670
892	5545	664
893	5554	658
894	5563	652
895	5571	646
896	5579	640
897	5589	634
898	5598	629
899	5608	623
900	5616	617
901	5624	611
902	5634	605
903	5641	599
904	5648	592
905	5654	586
906	5660	580
907	5667	574
908	5673	567
909	5680	561
910	5686	555
911	5692	549
912	5698	543
913	5704	536
914	5711	530
915	5717	524
916	5723	518
917	5729	511
918	5735	505
919	5742	499
920	5748	493
921	5754	486
922	5761	480
923	5767	474
924	5773	468
925	5780	461
926	5786	455
927	5792	449
928	5798	443
929	5803	436
930	5810	430
931	5815	424
932	5820	418
933	5826	411
934	5832	405
935	5839	399
936	5845	393
937	5850	386
938	5856	380
939	5863	374
940	5869	367
941	5874	361
942	5881	355
943	5887	349
944	5894	343
945	5900	336
946	5907	330
947	5914	324
948	5920	318
949	5926	311
950	5932	305
951	5938	299
952	5944	293
953	5950	286
954	5956	280
955	5962	274
956	5969	268
957	5976	261
958	5982	255
959	5988	249
960	5994	243
961	6000	237
962	6007	230
963	6013	224
964	6018	218
965	6025	212
966	6030	205
967	6036	199
968	6042	193
969	6048	187
970	6054	180
971	6060	174
972	6066	168
973	6072	162
974	6079	155
975	6085	149
976	6093	143
977	6100	137
978	6107	131
979	6115	124
980	6125	118
981	6133	112
982	6142	106
983	6151	100
984	6160	93
985	6169	87
986	6177	81
987	6185	75
988	6195	68
989	6203	62
990	6211	56
991	6220	50
992	6229	43
993	6238	37
994	6246	31
995	6255	25
996	6264	18
997	6272	12
998	6282	6
999	6291	0
